22644	46437
334	29951
10131	30738
6503	61987
20277	6428
79582	93900
96821	11124
95953	66601
95615	54483
29379	705
32302	37455
54550	342
63543	69521
42239	5850
55767	43309
92178	86266
72207	52451
74405	47945
19479	29534
10191	73716
92333	17760
33677	75967
93605	20932
64526	26880
50527	59285
9804	63055
81742	52315
19619	99337
32236	68135
35262	18957
32834	31182
13930	69741
73942	66728
88806	91291
71106	9746
1561	59437
99010	53733
48818	41044
48344	30828
41699	44167
82905	51879
39241	81145
11265	46466
46646	3872
65198	44008
43123	17863
12685	26425
85613	7288
63694	68595
38302	2292
6755	43545
13575	46821
62300	29651
53453	16248
62059	50561
8041	15223
84776	10774
56548	61422
15151	8204
69259	95977
7388	78370
27140	21720
37027	24701
31895	33675
94569	17885
41429	8903
38990	64978
12431	59498
12007	95533
95700	92852
57737	86866
67921	39061
7989	53017
36667	22524
76012	9796
41644	19454
67336	80672
75912	66689
9561	93102
70064	80014
9529	93850
42555	95367
84506	4145
90615	9528
12512	99780
49723	73771
172	69457
70243	29807
99609	78060
47376	27129
10577	90485
74427	68401
18642	24490
67597	69248
36841	39203
25022	60169
84108	62715
22874	60292
90417	37465
95268	3453
9075	1204
61454	58350
90290	15090
81590	60889
79075	28131
90937	31652
96029	35968
76654	24914
54540	14099
77071	98730
51226	89497
92022	15211
81745	69057
52878	31711
78533	65403
87771	78173
43191	40456
65794	61084
61082	78002
11595	56300
92145	24713
98745	20367
13077	15801
59326	75566
62373	94147
87635	37800
24884	63120
91917	94075
13117	64546
9914	8248
70512	98007
79285	67762
17304	42228
83348	27135
69269	13641
18534	52247
59825	81035
38084	51389
15751	41332
43879	68149
16274	6357
55993	70738
76609	31529
86418	23597
3633	71925
68777	9908
25634	209
95082	76880
71297	8042
72090	40924
23009	60108
97069	76308
66188	54694
8659	69715
29173	38173
58538	88893
62802	4413
82781	41987
81352	56984
87258	69432
50679	71244
97109	1271
28634	77051
64854	74632
32258	71661
38349	85511
11548	50945
73849	54479
38929	96198
39994	63169
20439	46478
87487	96311
75527	67314
76764	26466
8543	51586
44554	98653
5178	67401
84204	4458
16702	42808
90071	60208
98583	87379
19713	26994
93695	16967
21274	27856
14228	77124
13151	86532
30837	40367
58881	43496
23995	36774
48932	30034
90336	30300
52464	71616
62140	67824
64775	84591
69844	13538
34296	4237
80886	53214
27154	70284
2996	27249
98090	12140
15940	15915
54458	15191
32587	67994
90281	74729
67573	42828
21752	82121
88234	43697
5113	56028
44130	41973
24464	81471
95126	65100
25772	33377
45196	41210
27845	61948
26123	11928
80423	42487
71440	43135
47023	60044
17628	26414
3050	40729
36394	62335
727	9442
25931	89460
28079	78737
87568	15573
5401	79394
8495	6207
91036	83889
32009	75950
71129	91357
86951	25687
44466	85237
4679	29243
46642	34264
67327	91810
47757	45935
37475	51366
31286	55598
19705	18850
49174	45978
74501	2670
2861	64180
62282	90506
68836	45670
50490	71345
83381	60698
18329	78938
45891	36127
40494	79946
93374	78039
20604	78167
96188	39080
60851	15939
38976	34593
19726	95988
30765	97393
58752	69164
83799	34325
63	86721
4223	70333
73449	85446
64150	13604
70625	84761
16562	99916
11927	75917
32677	3004
70572	70870
625	81398
21948	97169
1815	3425
7394	83771
63261	39956
11560	45529
97249	5782
99930	73881
21843	45546
94140	61391
16624	99388
54479	29035
15107	96456
38172	2633
87181	42196
26418	33613
63043	54622
88045	35387
9640	79062
60571	33045
97111	8422
84749	57265
83463	72111
65279	69680
90026	22547
664	99138
98593	95834
91046	84231
42840	83529
21608	75026
18948	20312
13874	73513
73621	22661
33985	99789
54847	10411
1277	88643
89175	13715
97625	42724
20684	89065
22179	15515
13303	44384
65389	50726
70095	12861
25185	76673
15466	3596
44859	16690
11185	90352
55759	37822
47090	21165
43232	86410
316	34361
4447	92684
33678	85213
73516	26866
39554	50960
92767	8785
58745	10548
93862	62195
86005	75433
49141	87988
55257	37613
12218	44416
47226	84848
7620	53668
1539	52031
98431	13728
25071	84176
45655	20179
95278	40165
48111	8264
98150	2956
21012	59014
90889	3232
67111	83194
35034	81277
91727	85370
45436	26599
32565	78552
43686	74992
35661	47074
81768	36813
41391	89089
39677	3066
61724	23835
12227	98576
79080	7466
2800	3712
48144	51892
33152	99909
1515	88651
5485	2588
19018	92294
59225	31883
90431	52924
32385	28851
4914	63622
51681	19109
62493	28938
88912	80311
87414	48554
11540	75993
21768	48321
44212	67680
94545	24598
10714	91885
5335	10311
19327	73271
47091	54351
50018	17752
41767	64693
35422	8856
93018	66002
62768	46590
45751	57116
16155	46934
99910	18641
74399	99978
75802	42385
91309	32400
18884	65947
23628	5086
47370	44359
20242	52536
42096	74960
76904	16464
41280	97554
59002	11524
67438	59140
33686	59011
87354	23970
93129	76976
71444	89532
5834	71810
35430	20031
98025	99254
95965	25050
59854	28133
5430	55885
98207	91500
70230	16297
75299	82948
56390	495
82872	12504
94561	52839
2997	49975
28562	14363
18023	88366
71930	49288
44715	90375
79985	51282
43427	21800
1374	88675
65608	36765
96401	3502
57884	11591
55050	54032
76325	13707
96007	7101
28539	85164
5665	33812
97184	39850
69874	60914
53465	56600
21109	63007
98439	54124
43203	29930
84649	53573
4200	63269
20509	16329
40303	21974
51650	7587
44261	40006
47432	19382
23185	60213
57916	57571
44413	22630
15351	15608
5464	91575
23186	88714
95829	78315
81698	16720
26673	10046
77015	58153
77133	52326
58689	93397
13953	78888
56420	94989
59312	41341
83431	45898
29104	29067
69741	9313
71685	57559
1856	10581
9556	23001
51882	32755
19196	58859
23577	77190
98166	21094
4087	34033
70971	87025
30412	79859
51977	52798
73577	8848
11759	91041
57711	28209
62481	29383
70123	91743
22865	51688
94904	85001
44837	10056
20390	3180
78048	88392
97052	78567
72791	52641
34028	28696
25934	84200
8467	51220
83946	88001
26668	57900
22543	72322
84710	99572
57157	79461
90088	39302
50021	33394
49558	6498
78116	48151
81188	51576
29873	76550
60750	41389
77090	64958
93340	29879
33248	25081
50427	33513
13438	65022
70593	3222
94645	19242
31993	3094
77540	12396
67518	8746
67299	5490
83992	29268
68441	96219
91503	51219
62494	76801
24669	76773
60579	52735
25737	17626
53375	4001
75464	73667
39271	37157
83649	32546
64325	57010
66444	43742
16977	99634
23869	92910
81095	65659
75746	2788
46191	33982
50770	94533
43112	3146
7241	90474
85318	9296
89117	21141
